Dateiname,Name der Karte,Bedeutung der Karte,Bedeutung der Karte falls umgedreht
01-ace-of-cups-tarot-card-img-182x300-1.jpg,Ass der Kelche,Emotionale Erfüllung,Blockierte oder unterdrückte Emotionen
01-ace-of-pentacles-tarot-card-img-182x300-1.jpg,Ass der Münzen,Neue finanzielle Chancen,Mangel an Chancen oder Ressourcen
01-ace-of-swords-tarot-card-img-182x300-1.jpg,Ass der Schwerter,Neue Klarheit und Wahrheit,Verwirrung oder Täuschung
01-ace-of-wands-tarot-card-img-182x300-1.jpg,Ass der Stäbe,Inspiration und Neuanfang,Fehlende Motivation oder Verzögerungen
01-The-Magician-Tarot-card-img-182x300-1.jpg,Der Magier,Kreativität und Manifestation,Täuschung oder Illusion
02-The-High-Priestess-Tarot-card-img-182x300-1.jpg,Die Hohepriesterin,Intuition und innere Weisheit,Geheimnisse oder Verwirrung
02-two-of-cups-tarot-card-img-182x300-1.jpg,Zwei der Kelche,Harmonie und Partnerschaft,Spannungen oder Disharmonie in Beziehungen
02-two-of-pentacles-tarot-card-img-182x300-1.jpg,Zwei der Münzen,Balance und Anpassungsfähigkeit,Überforderung oder Chaos
02-two-of-swords-tarot-card-img-182x300-1.jpg,Zwei der Schwerter,Schwierige Entscheidungen,Blockierte Sicht oder Unentschlossenheit
02-two-of-wands-tarot-card-img-182x300-1.jpg,Zwei der Stäbe,Planung und Entschlossenheit,Zögern oder verpasste Chancen
03-The-Empress-Tarot-card-img-182x300-1.jpg,Die Kaiserin,Fruchtbarkeit und Kreativität,Abhängigkeit oder mangelnde Selbstfürsorge
03-three-of-cups-tarot-card-img-182x300-1.jpg,Drei der Kelche,Freude und Gemeinschaft,Spannungen in sozialen Beziehungen
03-three-of-pentacles-tarot-card-img-182x300-1.jpg,Drei der Münzen,Teamarbeit und Zusammenarbeit,Misskommunikation oder fehlende Teamarbeit
03-three-of-swords-tarot-card-img-182x300-1.jpg,Drei der Schwerter,Schmerz und Herzschmerz,Heilung oder schwelender Groll
03-three-of-wands-tarot-card-img-182x300-1.jpg,Drei der Stäbe,Expansion und Fortschritt,Verzögerungen oder Unsicherheit
04-four-of-cups-tarot-card-img-182x300-1.jpg,Vier der Kelche,Selbstreflexion oder Langeweile,Verpasste Chancen oder Apathie
04-four-of-pentacles-tarot-card-img-182x300-1.jpg,Vier der Münzen,Stabilität oder Besitzdenken,Habsucht oder Ängste loslassen
04-four-of-swords-tarot-card-img-182x300-1.jpg,Vier der Schwerter,Ruhe und Erholung,Erschöpfung oder Ruhelosigkeit
04-four-of-wands-tarot-card-img-182x300-1.jpg,Vier der Stäbe,Feier und Erfolg,Spannungen oder Störungen im Haushalt
04-The-Emperor-Tarot-card-img-182x300-1.jpg,Der Kaiser,Struktur und Stabilität,Tyrannei oder Kontrollverlust
05-five-of-cups-tarot-card-img-182x300-1.jpg,Fünf der Kelche,Trauer und Verlust,Akzeptanz und Weiterentwicklung
05-five-of-pentacles-tarot-card-img-182x300-1.jpg,Fünf der Münzen,Mangel und Verlassenheit,Hoffnung und Erholung
05-five-of-swords-tarot-card-img-182x300-1.jpg,Fünf der Schwerter,Konflikt und Niederlage,Frieden oder Vermeidung
05-five-of-wands-tarot-card-img-182x300-1.jpg,Fünf der Stäbe,Wettbewerb und Meinungsverschiedenheiten,Kooperation oder Chaos
05-The-Hierophant-Tarot-card-img-182x300-1.jpg,Der Hierophant,Tradition und Lehren,Rebellion oder unkonventionelles Denken
06-six-of-cups-tarot-card-img-182x300-1.jpg,Sechs der Kelche,Nostalgie und Erinnerungen,Unreife oder Schwierigkeiten loszulassen
06-six-of-pentacles-tarot-card-img-182x300-1.jpg,Sechs der Münzen,Geben und Nehmen,Ausnutzung oder Ungleichgewicht
06-six-of-swords-tarot-card-img-182x300-1.jpg,Sechs der Schwerter,Übergang und Heilung,Schwierigkeiten loszulassen oder Stagnation
06-six-of-wands-tarot-card-img-182x300-1.jpg,Sechs der Stäbe,Sieg und Anerkennung,Egoismus oder Verzögerung von Erfolgen
06-The-Lovers-Tarot-card-img-182x300-1.jpg,Die Liebenden,Liebe und Entscheidungen,Ungleichgewicht oder Konflikt
07-seven-of-cups-tarot-card-img-182x300-1.jpg,Sieben der Kelche,Träume und Illusionen,Verwirrung oder unklare Ziele
07-seven-of-pentacles-tarot-card-img-182x300-1.jpg,Sieben der Münzen,Geduld und Planung,Frustration oder Rückschläge
07-seven-of-swords-tarot-card-img-182x300-1.jpg,Sieben der Schwerter,Strategie und List,Betrug oder Selbsttäuschung
07-seven-of-wands-tarot-card-img-182x300-1.jpg,Sieben der Stäbe,Verteidigung und Beharrlichkeit,Aufgabe oder Überwältigung
07-The-Chariot-Tarot-card-img-182x300-1.jpg,Der Wagen,Entschlossenheit und Erfolg,Unkontrolliertes Verhalten oder Rückschlag
08-eight-of-cups-tarot-card-img-182x300-1.jpg,Acht der Kelche,Loslassen und Veränderung,Festhalten an der Vergangenheit oder Widerstand
08-eight-of-pentacles-tarot-card-img-182x300-1.jpg,Acht der Münzen,Fleiß und Engagement,Mangelnde Motivation oder Perfektionismus
08-eight-of-swords-tarot-card-img-182x300-1.jpg,Acht der Schwerter,Einschränkungen und Ängste,Selbstbefreiung oder Opferrolle
08-eight-of-wands-tarot-card-img-182x300-1.jpg,Acht der Stäbe,Schnelligkeit und Bewegung,Verzögerungen oder Kommunikationsprobleme
08-Strength-Tarot-card-img-182x300-1.jpg,Die Stärke,Innere Kraft und Mut,Schwäche oder Angst
09-nine-of-cups-tarot-card-img-182x300-1.jpg,Neun der Kelche,Wunsch und Zufriedenheit,Unzufriedenheit oder Selbstgefälligkeit
09-nine-of-pentacles-tarot-card-img-182x300-1.jpg,Neun der Münzen,Unabhängigkeit und Wohlstand,Materialismus oder Selbstzweifel
09-nine-of-swords-tarot-card-img-182x300-1.jpg,Neun der Schwerter,Ängste und Sorgen,Erleichterung oder Heilung
09-nine-of-wands-tarot-card-img-182x300-1.jpg,Neun der Stäbe,Standhaftigkeit und Widerstandsfähigkeit,Aufgabe oder Erschöpfung
09-The-Hermit-Tarot-card-img-182x300-1.jpg,Der Eremit,Suche nach Wahrheit und Einsamkeit,Isolation oder Rückzug
0-The-Fool-Tarot-card-img-182x300-1.jpg,Der Narr,Neuanfang und Abenteuer,Dummheit oder Leichtsinn
10-page-of-wands-tarot-card-img-182x300-1.jpg,Bube der Stäbe,Neugierde und Begeisterung,Unreife oder impulsives Verhalten
10-ten-of-cups-tarot-card-img-182x300-1.jpg,Zehn der Kelche,Glück und Harmonie,Missverständnisse oder Streit
10-ten-of-pentacles-tarot-card-img-182x300-1.jpg,Zehn der Münzen,Wohlstand und Erbe,Finanzielle Verluste oder familiäre Spannungen
10-ten-of-swords-tarot-card-img-182x300-1.jpg,Zehn der Schwerter,Verrat und Ende,Befreiung oder Erleichterung
10-ten-of-wands-tarot-card-img-182x300-1.jpg,Zehn der Stäbe,Verantwortung und Lasten,Überforderung oder Burnout
10-The-Wheel-of-Fortune-Tarot-card-img-182x300-1.jpg,Das Rad des Schicksals,Veränderung und Schicksal,Pech oder Stillstand
11-Justice-Tarot-card-img-182x300-1.jpg,Gerechtigkeit,Gerechtigkeit und Fairness,Unfairness oder Ungleichgewicht
11-knight-of-wands-tarot-card-img-182x300-1.jpg,Ritter der Stäbe,Mut und Entschlossenheit,Rücksichtslosigkeit oder Impulsivität
11-page-of-cups-tarot-card-img-182x300-1.jpg,Bube der Kelche,Kreativität und Intuition,Unreife oder emotionale Unsicherheit
11-page-of-pentacles-tarot-card-img-182x300-1.jpg,Bube der Münzen,Lernbereitschaft und neue Möglichkeiten,Stillstand oder Faulheit
11-page-of-swords-tarot-card-img-182x300-1.jpg,Bube der Schwerter,Neugier und klare Kommunikation,Klatsch oder Unruhe
12-knight-of-cups-tarot-card-img-182x300-1.jpg,Ritter der Kelche,Romantik und Charme,Unrealistische Erwartungen oder Unbeständigkeit
12-knight-of-pentacles-tarot-card-img-182x300-1.jpg,Ritter der Münzen,Fleiß und Beständigkeit,Sturheit oder Stillstand
12-knight-of-swords-tarot-card-img-182x300-1.jpg,Ritter der Schwerter,Energie und Tatkraft,Rücksichtslosigkeit oder Impulsivität
12-queen-of-wands-tarot-card-img-182x300-1.jpg,Königin der Stäbe,Selbstbewusstsein und Unabhängigkeit,Egoismus oder Unsicherheit
12-The-Hanged-Man-Tarot-card-img-182x300-1.jpg,Der Gehängte,Perspektivwechsel und Loslassen,Widerstand oder Vermeidung
13-Death-Tarot-card-img-182x300-1.jpg,Der Tod,Transformation und Neuanfang,Verweigerung oder Angst vor Veränderungen
13-queen-of-cups-tarot-card-img-182x300-1.jpg,Königin der Kelche,Mitgefühl und emotionale Tiefe,Emotionale Instabilität oder Abhängigkeit
13-queen-of-pentacles-tarot-card-img-182x300-1.jpg,Königin der Münzen,Fürsorge und Sicherheit,Überfürsorglichkeit oder Vernachlässigung
13-queen-of-swords-tarot-card-img-182x300-1.jpg,Königin der Schwerter,Klarheit und Unabhängigkeit,Kälte oder Herzlosigkeit
14-king-of-cups-tarot-card-img-182x300-1.jpg,König der Kelche,Emotionale Reife und Ausgeglichenheit,Emotionale Manipulation oder Unsicherheit
14-king-of-pentacles-tarot-card-img-182x300-1.jpg,König der Münzen,Wohlstand und Sicherheit,Materialismus oder Arroganz
14-king-of-swords-tarot-card-img-182x300-1.jpg,König der Schwerter,Klarheit und Autorität,Kaltblütigkeit oder Missbrauch von Macht
14-king-of-wands-tarot-card-img-182x300-1.jpg,König der Stäbe,Führung und Vision,Überheblichkeit oder Kontrollverlust
14-Temperance-Tarot-card-img-182x300-1.jpg,Die Mäßigkeit,Gleichgewicht und Harmonie,Extremes Verhalten oder Ungeduld
15-The-Devil-Tarot-card-img-182x300-1.jpg,Der Teufel,Bindungen und Versuchungen,Befreiung oder Kontrollverlust
16-The-Tower-Tarot-card-img-182x300-1.jpg,Der Turm,Plötzliche Veränderung und Erleuchtung,Chaos oder Zerstörung
17-The-Star-Tarot-card-img-182x300-1.jpg,Der Stern,Hoffnung und Heilung,Verzweiflung oder Pessimismus
18-The-Moon-Tarot-card-img-182x300-1.jpg,Der Mond,Intuition und Illusion,Angst oder Verwirrung
19-The-Sun-Tarot-card-img-182x300-1.jpg,Die Sonne,Freude und Erfolg,Enttäuschung oder Überoptimismus
20-Judgment-Tarot-card-img-182x300-1.jpg,Das Gericht,Erneuerung und Selbstreflexion,Zweifel oder Schuldgefühle
21-The-World-Tarot-card-img-182x300-1.jpg,Die Welt,Vollendung und Erfüllung,Unvollendete Angelegenheiten oder Stagnation
